match_id,season,date,team1,team2,winner,venue,city,toss_winner,toss_decision
1082591,2017,2017-04-05,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bangalore,field
1082592,2017,2017-04-06,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field
1082593,2017,2017-04-07,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Rajkot,Kolkata Knight Riders,field
1082594,2017,2017-04-08,Punjab Kings,Rising Pune Supergiant,Punjab Kings,Holkar Cricket Stadium,Indore,Kings XI Punjab,field
1082595,2017,2017-04-08,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,bat
1082596,2017,2017-04-09,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field
1082597,2017,2017-04-09,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,field
1082598,2017,2017-04-10,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Holkar Cricket Stadium,Indore,Royal Challengers Bangalore,bat
1082599,2017,2017-04-11,Rising Pune Supergiant,Delhi Capitals,Delhi Capitals,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field
1082600,2017,2017-04-12,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,field
1082601,2017,2017-04-13,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,Kolkata Knight Riders,field
1082602,2017,2017-04-14,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field
1082603,2017,2017-04-14,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field
1082604,2017,2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,Sunrisers Hyderabad,field
1082605,2017,2017-04-15,Delhi Capitals,Punjab Kings,Delhi Capitals,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat
1082606,2017,2017-04-16,Mumbai Indians,Gujarat Lions,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,field
1082607,2017,2017-04-16,Royal Challengers Bengaluru,Rising Pune Supergiant,Rising Pune Supergiant,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field
1082608,2017,2017-04-17,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat
1082609,2017,2017-04-17,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,field
1082610,2017,2017-04-18,Gujarat Lions,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field
1082611,2017,2017-04-19,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat
1082612,2017,2017-04-20,Punjab Kings,Mumbai Indians,Mumbai Indians,Holkar Cricket Stadium,Indore,Mumbai Indians,field
1082613,2017,2017-04-21,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Eden Gardens,Kolkata,Gujarat Lions,field
1082614,2017,2017-04-22,Mumbai Indians,Delhi Capitals,Mumbai Indians,Wankhede Stadium,Mumbai,Delhi Daredevils,field
