match_id,season,date,batter,runs,balls,fours,sixes,strike_rate,previous_runs,previous_strike_rate,previous_balls,last_3_avg_runs,last_5_avg_runs,last_5_avg_sr,last_5_std_runs,career_avg_runs,momentum,next_match_runs,last_5_avg_fours,last_5_avg_sixes,last_5_avg_balls,last_10_avg_runs,recent_trend,last_5_boundary_runs,batting_team,team1,team2,opponent,vs_opponent_avg
335985,2007/08,2008-04-20,B Akhil,3,5,0,0,60.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,0.0
335985,2007/08,2008-04-20,JH Kallis,25,24,0,1,104.16666666666667,8.0,114.28571428571428,7.0,8.0,8.0,114.28571428571428,0.0,8.0,1.0,11.0,0.0,1.0,7.0,0.0,0.0,6.0,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,8.0
335985,2007/08,2008-04-20,MV Boucher,39,19,4,2,205.26315789473685,7.0,77.77777777777779,9.0,7.0,7.0,77.77777777777779,0.0,7.0,1.0,4.0,1.0,0.0,9.0,0.0,0.0,4.0,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,7.0
335985,2007/08,2008-04-20,R Dravid,32,33,4,0,96.96969696969697,2.0,66.66666666666666,3.0,2.0,2.0,66.66666666666666,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,2.0
335985,2007/08,2008-04-20,V Kohli,23,14,3,1,164.28571428571428,1.0,20.0,5.0,1.0,1.0,20.0,0.0,1.0,1.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,1.0
335986,2007/08,2008-04-20,BB McCullum,5,5,1,0,100.0,158.0,216.43835616438358,73.0,158.0,158.0,216.43835616438358,0.0,158.0,1.0,24.0,10.0,13.0,73.0,0.0,0.0,118.0,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,158.0
335986,2007/08,2008-04-20,DJ Hussey,38,43,1,3,88.37209302325581,12.0,100.0,12.0,12.0,12.0,100.0,0.0,12.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,4.0,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,12.0
335986,2007/08,2008-04-20,Mohammad Hafeez,13,13,1,1,100.0,5.0,166.66666666666669,3.0,5.0,5.0,166.66666666666669,0.0,5.0,1.0,16.0,1.0,0.0,3.0,0.0,0.0,4.0,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,5.0
335986,2007/08,2008-04-20,RT Ponting,0,1,0,0,0.0,20.0,100.0,20.0,20.0,20.0,100.0,0.0,20.0,1.0,0.0,1.0,1.0,20.0,0.0,0.0,10.0,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,20.0
335986,2007/08,2008-04-20,SC Ganguly,14,30,1,0,46.666666666666664,10.0,83.33333333333334,12.0,10.0,10.0,83.33333333333334,0.0,10.0,1.0,12.0,2.0,0.0,12.0,0.0,0.0,8.0,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,10.0
